"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"4081",4081,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4082",4082,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Barred Owl","Strix varia","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,9,29,"N. America"
"4083",4083,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1972",NA,"United States of America","Black Vulture","Coragyps atratus","wild","DDT","organochlorine insecticides","adipose","Alachua, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.52,13,29,"N. America"
"4084",4084,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1972",NA,"United States of America","Black Vulture","Coragyps atratus","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,13,29,"N. America"
"4085",4085,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barn Owl","Tyto alba","wild","DDT","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,8,29,"N. America"
"4086",4086,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barn Owl","Tyto alba","wild","DDT","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,8,29,"N. America"
"4087",4087,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Barn Owl","Tyto alba","wild","DDT","organochlorine insecticides","adipose","Hillsborough, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,8,29,"N. America"
"4088",4088,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDT","organochlorine insecticides","brain","Duval, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,24,29,"N. America"
"4089",4089,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDT","organochlorine insecticides","liver","Duval, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,24,29,"N. America"
"4090",4090,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Cooper's Hawk","Accipiter cooperii","wild","DDT","organochlorine insecticides","muscle","Duval, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,24,29,"N. America"
"4091",4091,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1973",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4092",4092,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4093",4093,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4094",4094,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4095",4095,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","brain","Duval, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4096",4096,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","liver","Duval, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4097",4097,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","muscle","Duval, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4098",4098,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1976",NA,"United States of America","Great Horned Owl","Bubo virginianus","wild","DDT","organochlorine insecticides","brain","Duval, Florida",1,NA,NA,"unknown/mixed","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,35,29,"N. America"
"4099",4099,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4100",4100,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","muscle","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4101",4101,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4102",4102,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4103",4103,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4104",4104,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4105",4105,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.3,59,29,"N. America"
"4106",4106,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4107",4107,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","liver","Lake, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4108",4108,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"juvenile","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.52,59,29,"N. America"
"4109",4109,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"juvenile","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4110",4110,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","muscle","Pinellas, Florida",1,NA,NA,"juvenile","unknown/mixed",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.16,59,29,"N. America"
"4111",4111,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Hillsborough, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.13,59,29,"N. America"
"4112",4112,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","liver","Hillsborough, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4113",4113,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","muscle","Hillsborough, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4114",4114,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Taylor, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4115",4115,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1977",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Union, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,59,29,"N. America"
"4116",4116,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1981",NA,"United States of America","Red-shouldered hawk","Buteo lineatus","wild","DDT","organochlorine insecticides","brain","Gadsden, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",1.2,59,29,"N. America"
"4117",4117,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"juvenile","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,60,29,"N. America"
"4118",4118,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","adipose","Alachua, Florida",1,NA,NA,"juvenile","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.23,60,29,"N. America"
"4119",4119,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"juvenile","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,60,29,"N. America"
"4120",4120,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"juvenile","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.02,60,29,"N. America"
"4121",4121,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","brain","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,60,29,"N. America"
"4122",4122,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","liver","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,60,29,"N. America"
"4123",4123,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1975",NA,"United States of America","Red-tailed Hawk","Buteo jamaicensis","wild","DDT","organochlorine insecticides","muscle","Alachua, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.01,60,29,"N. America"
"4124",4124,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","adipose","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4125",4125,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","liver","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4126",4126,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1971",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","muscle","Polk, Florida",1,NA,NA,"adult","female",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4127",4127,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","brain","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0,64,29,"N. America"
"4128",4128,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","adipose","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.67,64,29,"N. America"
"4129",4129,266,"Residues of chlorinated hydrocarbons in tissues of raptors in Florida","1974",NA,"United States of America","Sharp-shinned hawk","Accipiter striatus","wild","DDT","organochlorine insecticides","liver","Pinellas, Florida",1,NA,NA,"adult","male",NA,"0.01",NA,NA,NA,"µg/g","wet","no","none","none",0.13,64,29,"N. America"
